cust_id,cust_price_sensitivity,cust_lifestage
CUST0000019337,XX,OT
CUST0000019499,LA,OT
CUST0000019629,UM,YF
CUST0000019980,UM,OT
CUST0000019986,MM,OT
CUST0000019987,XX,OT
CUST0000020029,MM,OA
CUST0000020571,MM,YF
CUST0000020908,MM,OT
CUST0000021007,MM,OF
CUST0000021287,MM,OT
CUST0000021723,MM,YF
CUST0000022234,LA,OF
CUST0000022316,LA,OT
CUST0000022415,MM,OT
CUST0000022814,UM,OT
CUST0000023291,UM,OT
CUST0000023371,XX,OT
CUST0000023406,UM,YA
CUST0000023618,MM,YA
CUST0000023729,XX,
CUST0000023874,XX,OT
CUST0000023876,LA,OT
CUST0000023985,UM,OT
CUST0000024442,LA,YF
CUST0000024551,XX,YA
CUST0000024653,UM,OA
CUST0000024790,XX,YA
CUST0000024896,UM,PE
CUST0000025217,MM,YA
CUST0000025221,MM,
CUST0000025292,UM,OT
CUST0000025448,MM,YF
CUST0000025657,MM,PE
CUST0000025672,XX,OT
CUST0000025682,UM,OT
CUST0000025691,UM,OF
CUST0000026426,LA,OT
CUST0000026547,LA,OT
CUST0000026732,MM,PE
CUST0000026911,UM,OT
CUST0000027188,LA,YF
CUST0000027294,XX,OF
CUST0000027371,LA,PE
CUST0000027873,UM,PE
CUST0000028030,XX,OT
CUST0000028077,UM,OT
CUST0000028109,MM,YA
CUST0000028257,MM,OT
CUST0000028627,LA,OA
CUST0000029009,LA,YA
CUST0000029233,LA,YF
CUST0000029326,UM,YA
CUST0000029392,UM,OT
CUST0000029587,UM,YA
CUST0000029729,UM,OA
CUST0000029952,UM,OT
CUST0000030086,LA,OT
CUST0000030374,MM,YF
CUST0000030521,LA,
CUST0000030585,LA,OT
CUST0000031428,MM,YA
CUST0000031564,XX,
CUST0000031996,XX,OT
CUST0000032568,MM,
CUST0000032697,LA,OT
CUST0000032813,UM,OT
CUST0000033304,MM,OA
CUST0000033395,MM,OT
CUST0000033514,LA,OA
CUST0000034023,MM,YF
CUST0000034375,LA,OT
CUST0000034450,UM,YF
CUST0000035935,MM,OT
CUST0000036781,UM,OT
CUST0000036792,MM,PE
CUST0000037150,UM,OT
CUST0000037401,XX,PE
CUST0000037542,UM,
CUST0000037746,UM,OT
CUST0000037843,LA,YA
CUST0000038037,XX,
CUST0000038061,UM,OA
CUST0000038162,MM,YA
CUST0000038166,XX,OT
CUST0000038793,LA,YA
CUST0000039024,MM,YF
CUST0000039202,LA,OT
CUST0000039473,UM,PE
CUST0000039589,MM,OT
CUST0000039817,XX,OT
CUST0000039828,MM,
CUST0000039924,UM,OT
CUST0000040270,UM,PE
CUST0000040366,LA,YA
CUST0000040788,UM,YA
CUST0000040819,MM,YF
CUST0000041142,LA,
CUST0000041292,XX,YA
CUST0000041315,LA,OA
CUST0000041397,LA,YA
CUST0000041637,MM,YA
CUST0000041705,MM,OT
CUST0000041792,MM,OF
CUST0000041920,UM,OT
CUST0000042133,MM,YF
CUST0000042310,MM,YF
CUST0000042324,LA,
CUST0000042355,UM,OT
CUST0000042419,MM,OF
CUST0000042509,XX,OT
CUST0000042921,MM,OA
CUST0000042928,UM,OT
CUST0000043076,MM,OT
CUST0000043090,UM,OT
CUST0000043417,MM,PE
CUST0000043446,XX,OT
CUST0000043639,UM,OT
CUST0000044201,MM,OT
CUST0000044470,MM,OA
CUST0000044673,MM,OT
CUST0000044799,MM,OT
CUST0000044856,LA,OA
CUST0000044868,XX,OT
CUST0000045451,LA,OA
CUST0000045979,LA,OT
CUST0000046097,MM,OT
CUST0000046348,UM,YF
CUST0000046556,LA,OA
CUST0000046594,UM,YA
CUST0000046609,UM,OT
CUST0000046755,LA,
CUST0000046773,MM,OT
CUST0000047009,LA,
CUST0000047027,UM,
CUST0000047261,UM,OA
CUST0000047548,UM,YA
CUST0000047889,MM,OT
CUST0000047909,MM,
CUST0000048091,MM,YF
CUST0000048128,MM,
CUST0000048202,MM,YA
CUST0000048286,LA,YF
CUST0000048320,MM,OT
CUST0000048357,LA,OT
CUST0000048950,XX,OT
CUST0000049075,LA,PE
CUST0000049271,XX,OT
CUST0000049424,UM,
CUST0000049454,UM,OA
CUST0000049591,UM,OT
CUST0000049612,LA,
CUST0000049621,LA,YF
CUST0000049880,LA,OA
CUST0000050133,LA,OT
CUST0000050163,LA,OT
CUST0000050331,UM,YA
CUST0000050344,LA,YF
CUST0000050558,MM,OA
CUST0000051369,UM,OT
CUST0000051933,LA,OA
CUST0000051975,UM,PE
CUST0000052443,UM,OA
CUST0000052765,MM,YA
CUST0000052887,UM,OT
CUST0000053274,MM,OT
CUST0000053339,MM,OF
CUST0000053580,LA,OT
CUST0000053659,MM,YA
CUST0000053837,MM,YA
CUST0000053961,UM,
CUST0000054115,MM,OT
CUST0000054749,LA,YA
CUST0000054756,LA,YF
CUST0000054771,XX,OT
CUST0000054804,MM,YA
CUST0000054846,XX,OT
CUST0000055017,XX,YF
CUST0000055064,MM,YA
CUST0000055116,XX,OT
CUST0000055165,UM,OA
CUST0000055276,MM,
CUST0000055381,UM,YF
CUST0000055392,LA,OA
CUST0000055396,UM,OT
CUST0000055631,XX,
CUST0000055829,LA,OT
CUST0000055931,MM,OF
CUST0000055988,XX,OT
CUST0000056276,MM,OA
CUST0000056533,MM,OT
CUST0000056664,XX,OT
CUST0000056849,UM,YA
CUST0000056956,XX,OT
CUST0000057033,UM,OT
CUST0000057088,MM,
CUST0000057417,LA,OT
CUST0000057790,XX,OT
CUST0000058498,MM,OT
CUST0000058615,XX,OT
CUST0000058634,MM,
CUST0000058875,MM,OT
CUST0000059001,MM,YF
CUST0000059470,UM,
CUST0000059541,UM,OT
CUST0000060014,LA,OT
CUST0000060094,MM,YA
CUST0000060098,UM,OT
CUST0000060281,LA,OA
CUST0000060410,MM,OA
CUST0000060707,LA,PE
CUST0000060800,UM,
CUST0000060847,MM,OA
CUST0000061162,UM,PE
CUST0000061214,MM,OT
CUST0000061224,MM,OT
CUST0000061263,MM,PE
CUST0000061472,MM,YA
CUST0000061695,MM,PE
CUST0000062082,XX,PE
CUST0000062102,XX,OT
CUST0000062146,XX,YA
CUST0000062236,MM,YA
CUST0000062382,UM,OA
CUST0000062780,LA,OA
CUST0000062891,MM,
CUST0000062946,MM,YF
CUST0000063103,MM,
CUST0000063144,XX,OT
CUST0000063172,MM,OT
CUST0000063646,MM,
CUST0000063939,UM,
CUST0000065468,UM,PE
CUST0000065671,LA,OT
CUST0000066327,XX,OT
CUST0000066423,MM,PE
CUST0000066462,UM,OT
CUST0000066762,UM,OF
CUST0000067158,LA,OT
CUST0000067605,MM,OT
CUST0000067841,MM,YA
CUST0000067848,XX,OT
CUST0000067889,XX,OT
CUST0000068170,UM,OA
CUST0000068730,MM,OT
CUST0000068797,LA,OT
CUST0000069011,MM,OA
CUST0000069477,XX,OT
CUST0000069624,LA,OT
CUST0000069832,XX,
CUST0000070207,MM,OT
CUST0000070949,LA,OT
CUST0000070986,MM,PE
CUST0000071220,UM,OT
CUST0000071264,MM,
CUST0000071511,XX,OT
CUST0000071732,UM,YF
CUST0000072124,LA,OA
CUST0000072578,UM,PE
CUST0000072800,UM,OA
CUST0000073199,MM,OA
CUST0000073777,LA,OF
CUST0000074341,MM,OA
CUST0000074550,XX,OT
CUST0000074601,MM,YA
CUST0000074825,MM,OT
CUST0000075013,MM,OT
CUST0000075112,MM,OT
CUST0000075376,UM,YF
CUST0000076078,LA,PE
CUST0000076091,UM,
CUST0000076243,MM,YF
CUST0000076787,MM,PE
CUST0000076793,MM,PE
CUST0000077221,XX,OT
CUST0000077294,UM,OA
CUST0000077478,XX,OT
CUST0000077708,UM,YF
CUST0000077998,LA,
CUST0000078020,LA,PE
CUST0000078328,UM,
CUST0000078429,LA,YA
CUST0000078777,LA,OF
CUST0000078889,LA,OT
CUST0000079114,UM,OA
CUST0000079125,UM,OT
CUST0000079207,MM,OT
CUST0000079529,UM,
CUST0000079790,MM,OT
CUST0000080301,UM,OT
CUST0000080372,LA,OT
CUST0000080630,MM,YF
CUST0000080684,XX,OT
CUST0000080905,XX,OA
CUST0000081109,XX,OT
CUST0000081255,MM,OA
CUST0000081326,LA,OT
CUST0000081357,UM,OT
CUST0000081381,UM,OA
CUST0000081683,MM,OA
CUST0000081993,MM,YA
CUST0000082206,MM,OA
CUST0000082456,MM,OT
CUST0000082523,MM,PE
CUST0000083700,LA,YF
CUST0000083735,XX,OT
CUST0000083736,LA,OT
CUST0000084449,MM,OT
CUST0000084519,MM,OT
CUST0000084849,UM,OA
CUST0000084889,XX,OT
CUST0000084985,MM,OT
CUST0000085180,LA,YF
CUST0000085249,UM,OT
CUST0000085396,MM,YF
CUST0000085435,LA,YF
CUST0000085537,LA,OT
CUST0000085841,LA,
CUST0000086468,XX,OT
CUST0000086516,MM,
CUST0000086754,LA,OT
CUST0000086768,MM,YA
CUST0000086810,LA,OT
CUST0000086931,XX,OT
CUST0000086940,MM,OT
CUST0000086976,MM,OT
CUST0000087799,UM,OA
CUST0000087833,UM,OA
CUST0000087850,UM,OT
CUST0000087895,MM,YA
CUST0000088073,MM,
CUST0000088232,UM,YA
CUST0000088309,LA,
CUST0000088415,MM,OF
CUST0000088575,LA,OT
CUST0000088620,MM,OT
CUST0000088701,LA,
CUST0000088813,UM,PE
CUST0000088853,MM,OT
CUST0000088904,MM,OT
CUST0000088955,MM,YA
CUST0000089459,UM,YF
CUST0000089485,MM,OT
CUST0000089501,MM,YF
CUST0000089711,MM,OT
CUST0000089820,LA,OT
CUST0000089962,XX,OT
CUST0000090072,MM,OT
CUST0000090376,LA,OA
CUST0000090508,LA,YF
CUST0000090867,XX,
CUST0000090870,XX,OT
CUST0000090957,MM,OA
CUST0000091090,UM,OT
CUST0000091257,MM,OT
CUST0000091271,LA,
CUST0000091625,UM,YA
CUST0000091646,MM,OT
CUST0000091671,UM,
CUST0000091697,MM,OF
CUST0000091796,XX,
CUST0000091896,MM,OT
CUST0000092176,UM,OA
CUST0000092187,MM,YA
CUST0000092201,MM,OT
CUST0000092269,MM,OA
CUST0000092328,MM,OT
CUST0000092460,MM,YA
CUST0000092637,MM,PE
CUST0000092645,MM,YA
CUST0000092674,MM,YA
CUST0000092719,MM,YA
CUST0000092839,UM,YA
CUST0000093216,UM,OF
CUST0000093607,LA,PE
CUST0000094387,MM,PE
CUST0000094518,UM,OT
CUST0000094693,XX,OT
CUST0000094763,UM,OT
CUST0000095091,MM,YF
CUST0000095092,LA,OT
CUST0000095209,MM,OT
CUST0000095712,LA,OT
CUST0000095739,UM,OT
CUST0000096239,LA,YA
CUST0000096331,XX,PE
CUST0000096346,UM,YA
CUST0000096525,MM,
CUST0000096570,UM,PE
CUST0000097065,MM,YA
CUST0000097226,MM,OT
CUST0000097252,UM,OT
CUST0000097286,XX,OT
CUST0000097667,UM,OT
CUST0000097732,MM,OF
CUST0000098174,MM,
CUST0000098337,MM,OT
CUST0000098418,MM,OT
CUST0000098592,XX,OT
CUST0000098598,XX,OT
CUST0000098775,UM,OT
CUST0000098812,LA,PE
CUST0000099026,LA,OT
CUST0000099315,MM,OA
CUST0000099465,UM,OA
CUST0000099530,MM,YF
CUST0000099557,UM,YA
CUST0000100419,LA,YA
CUST0000100432,LA,OA
CUST0000100629,MM,YF
CUST0000100865,MM,YF
CUST0000100897,UM,OT
CUST0000100914,LA,OT
CUST0000100955,MM,OA
CUST0000101121,MM,OA
CUST0000101162,UM,PE
CUST0000101185,LA,OA
CUST0000101377,MM,OT
CUST0000101652,MM,OT
CUST0000101739,XX,OT
CUST0000101913,XX,OT
CUST0000102015,LA,OT
CUST0000102309,UM,YA
CUST0000102331,UM,OF
CUST0000102383,UM,YA
CUST0000102491,MM,OT
CUST0000102869,MM,OT
CUST0000102963,MM,YA
CUST0000103039,LA,PE
CUST0000103653,UM,YF
CUST0000103784,LA,YA
CUST0000104035,MM,OT
CUST0000104542,MM,
CUST0000104637,MM,
CUST0000104788,XX,PE
CUST0000104986,MM,PE
CUST0000105001,MM,OT
CUST0000105586,UM,OT
CUST0000105613,LA,OT
CUST0000105652,MM,OT
CUST0000105720,UM,OA
CUST0000105725,XX,OT
CUST0000106420,LA,OT
CUST0000106540,LA,OT
CUST0000106639,UM,
CUST0000106749,UM,OT
CUST0000106770,MM,YF
CUST0000106871,UM,YF
CUST0000107151,UM,YA
CUST0000107301,MM,OA
CUST0000107333,UM,OT
CUST0000107554,LA,PE
CUST0000107768,UM,OT
CUST0000107770,UM,OT
CUST0000109079,LA,OA
CUST0000109120,XX,YA
CUST0000109188,UM,OT
CUST0000109193,MM,OA
CUST0000109262,XX,OT
CUST0000109451,XX,OT
CUST0000109500,MM,OT
CUST0000109509,XX,OT
CUST0000109625,UM,YF
CUST0000109639,UM,OT
CUST0000109701,MM,OT
CUST0000109728,MM,OA
CUST0000110356,LA,YF
CUST0000110486,LA,OT
CUST0000110508,LA,
CUST0000110607,LA,OA
CUST0000110748,UM,OT
CUST0000110854,LA,YA
CUST0000111137,LA,
CUST0000111673,MM,YF
CUST0000111779,MM,OT
CUST0000112178,UM,OT
CUST0000112412,UM,OT
CUST0000112467,LA,OF
CUST0000112612,LA,OT
CUST0000113788,LA,OA
CUST0000113976,UM,OT
CUST0000114208,MM,YF
CUST0000114492,UM,OA
CUST0000114775,UM,OT
CUST0000115101,UM,
CUST0000115390,MM,YA
CUST0000115400,UM,YA
CUST0000115401,LA,OT
CUST0000115629,MM,OT
CUST0000115923,MM,OT
CUST0000115970,MM,YA
CUST0000116031,LA,OT
CUST0000117239,UM,YA
CUST0000117522,XX,OT
CUST0000117777,UM,PE
CUST0000119198,MM,OT
CUST0000119837,MM,OT
CUST0000120088,LA,YF
CUST0000120143,UM,OT
CUST0000120214,LA,OT
CUST0000120453,UM,YA
CUST0000120536,UM,OT
CUST0000120799,MM,OF
CUST0000120837,LA,
CUST0000120903,XX,OT
CUST0000121178,MM,
CUST0000121259,UM,PE
CUST0000121266,XX,OT
CUST0000121492,MM,YF
CUST0000121684,XX,YF
CUST0000121998,MM,PE
CUST0000122093,UM,PE
CUST0000122174,XX,YA
CUST0000122425,LA,OA
CUST0000122993,MM,YA
CUST0000123142,LA,OT
CUST0000124113,LA,OT
CUST0000124431,MM,
CUST0000124448,XX,OT
CUST0000124935,XX,OA
CUST0000124963,LA,OA
CUST0000125006,UM,OT
CUST0000125091,UM,YF
CUST0000125124,UM,YF
CUST0000125421,MM,PE
CUST0000125490,XX,OT
CUST0000125548,MM,OT
CUST0000126117,MM,OT
CUST0000126202,MM,OT
CUST0000126343,MM,OT
CUST0000126351,LA,OT
CUST0000126668,LA,YF
CUST0000126750,MM,OT
CUST0000127124,UM,PE
CUST0000127477,MM,
CUST0000127498,LA,OA
CUST0000127560,XX,OT
CUST0000128103,LA,YF
CUST0000128185,UM,OA
CUST0000128804,XX,OT
CUST0000128862,LA,OT
CUST0000128997,UM,YA
CUST0000129034,MM,YA
CUST0000129368,UM,OT
CUST0000129484,LA,YF
CUST0000129677,UM,OT
CUST0000129804,XX,OT
CUST0000130407,XX,PE
CUST0000130446,UM,OT
CUST0000130658,UM,OA
CUST0000130703,UM,OT
CUST0000130724,UM,OT
CUST0000131091,MM,YF
CUST0000131200,UM,OA
CUST0000131452,XX,OA
CUST0000131491,UM,YA
CUST0000131508,XX,OT
CUST0000131635,MM,
CUST0000131867,UM,OA
CUST0000132151,UM,PE
CUST0000132213,UM,PE
CUST0000132235,LA,YF
CUST0000132577,UM,YF
CUST0000132826,LA,PE
CUST0000132844,MM,OT
CUST0000133247,UM,OT
CUST0000133579,UM,OF
CUST0000133938,UM,OT
CUST0000134243,UM,OT
CUST0000134361,MM,
CUST0000134680,UM,OT
CUST0000134957,MM,OT
CUST0000135178,MM,OT
CUST0000135244,LA,OT
CUST0000135514,MM,YA
CUST0000136982,UM,PE
CUST0000137504,LA,PE
CUST0000137569,UM,YA
CUST0000137649,LA,
CUST0000137876,LA,YF
CUST0000138040,MM,OT
CUST0000138450,UM,OT
CUST0000138580,UM,OA
CUST0000138774,MM,YF
CUST0000138854,LA,YF
CUST0000139227,UM,PE
CUST0000139484,MM,OF
CUST0000140306,MM,YF
CUST0000140438,UM,YA
CUST0000140700,UM,OT
CUST0000140947,UM,OA
CUST0000141094,LA,OA
CUST0000141343,MM,OT
CUST0000141657,LA,OA
CUST0000141926,XX,PE
CUST0000142047,UM,
CUST0000142059,MM,PE
CUST0000142262,MM,
CUST0000142399,XX,OT
CUST0000142444,MM,YA
CUST0000142485,LA,YA
CUST0000142549,MM,YA
CUST0000142590,UM,YF
CUST0000142685,XX,OT
CUST0000142966,XX,OT
CUST0000143009,LA,OT
CUST0000143069,XX,OT
CUST0000143092,LA,OT
CUST0000143568,MM,OT
CUST0000143602,LA,OT
CUST0000143770,LA,OT
CUST0000143857,LA,
CUST0000144071,MM,OA
CUST0000144313,MM,YF
CUST0000144435,LA,OT
CUST0000144492,LA,OT
CUST0000144594,XX,OT
CUST0000145181,UM,OT
CUST0000145307,MM,OT
CUST0000145363,MM,YA
CUST0000145387,LA,OA
CUST0000145541,MM,OA
CUST0000145641,UM,YA
CUST0000145809,MM,YF
CUST0000146045,MM,PE
CUST0000146061,UM,OT
CUST0000146488,MM,OA
CUST0000146770,MM,YF
CUST0000146867,MM,
CUST0000147274,LA,OT
CUST0000147472,MM,YA
CUST0000147674,MM,YA
CUST0000147978,LA,OT
CUST0000148683,XX,OT
CUST0000148783,MM,
CUST0000149006,MM,OT
CUST0000149077,MM,OT
CUST0000149263,UM,OT
CUST0000149331,MM,OT
CUST0000149344,UM,YA
CUST0000149372,LA,YF
CUST0000149391,MM,OT
CUST0000149548,UM,OT
CUST0000149614,LA,OF
CUST0000149716,MM,YF
CUST0000149878,MM,
CUST0000149982,MM,OT
CUST0000150282,MM,OA
CUST0000150295,MM,OA
CUST0000150333,MM,
CUST0000150629,XX,OA
CUST0000150728,XX,OT
CUST0000150892,MM,
CUST0000151068,UM,OT
CUST0000151112,XX,OT
CUST0000151178,UM,YA
CUST0000151471,MM,OT
CUST0000151506,XX,OT
CUST0000151558,XX,OT
CUST0000151651,MM,YF
CUST0000151825,LA,OT
CUST0000152233,LA,YF
CUST0000152669,UM,YA
CUST0000152715,XX,OT
CUST0000153320,MM,OT
CUST0000153446,MM,OT
CUST0000153576,UM,OT
CUST0000153789,UM,OA
CUST0000154091,MM,OT
CUST0000154122,MM,OF
CUST0000154180,LA,OT
CUST0000154719,MM,OA
CUST0000154778,LA,PE
CUST0000154806,MM,OA
CUST0000154813,XX,OT
CUST0000154831,LA,OA
CUST0000155214,LA,OT
CUST0000155661,LA,OA
CUST0000155767,LA,YF
CUST0000156179,MM,OT
CUST0000156198,LA,OA
CUST0000156208,UM,OT
CUST0000156209,LA,
CUST0000156219,UM,OT
CUST0000156297,LA,OT
CUST0000156330,LA,
CUST0000156718,UM,YA
CUST0000156875,XX,OT
CUST0000156940,XX,OT
CUST0000157101,UM,PE
CUST0000157162,UM,OT
CUST0000157175,XX,OT
CUST0000157638,UM,OT
CUST0000157717,MM,PE
CUST0000157795,LA,OT
CUST0000157823,UM,YF
CUST0000158221,UM,YF
CUST0000158354,MM,OA
CUST0000158544,MM,PE
CUST0000158576,MM,PE
CUST0000158853,UM,YA
CUST0000158972,LA,OT
CUST0000159615,MM,OT
CUST0000159682,MM,OT
CUST0000159862,MM,OT
CUST0000159864,LA,OT
CUST0000159899,UM,
CUST0000160306,LA,PE
CUST0000160456,LA,OF
CUST0000160617,XX,OT
CUST0000160729,UM,OT
CUST0000161188,XX,OT
CUST0000161286,MM,PE
CUST0000161404,UM,OT
CUST0000161885,MM,PE
CUST0000161967,MM,OT
CUST0000161994,UM,YF
CUST0000162102,UM,OT
CUST0000162230,MM,OF
CUST0000162349,MM,OT
CUST0000162434,MM,OT
CUST0000162536,LA,OT
CUST0000162730,UM,OT
CUST0000162773,MM,OT
CUST0000162850,UM,OT
CUST0000163212,MM,OT
CUST0000163355,MM,OT
CUST0000163810,MM,PE
CUST0000164214,MM,OT
CUST0000164777,MM,YA
CUST0000165033,UM,YA
CUST0000165473,UM,YF
CUST0000165485,UM,OT
CUST0000165493,LA,OT
CUST0000165640,LA,YF
CUST0000166035,MM,OT
CUST0000166122,UM,OA
CUST0000166268,MM,YA
CUST0000166295,UM,YF
CUST0000166407,LA,PE
CUST0000166546,LA,YF
CUST0000166560,XX,YA
CUST0000166674,LA,YF
CUST0000166823,LA,OF
CUST0000166946,XX,OT
CUST0000167044,UM,OT
CUST0000167183,MM,
CUST0000167244,LA,
CUST0000167253,MM,OT
CUST0000167262,LA,YA
CUST0000167368,UM,PE
CUST0000167586,MM,OT
CUST0000168088,UM,OT
CUST0000168178,MM,YA
CUST0000168254,UM,OA
CUST0000168297,XX,OT
CUST0000168307,LA,OA
CUST0000168578,MM,OT
CUST0000168606,MM,YA
CUST0000168651,UM,OA
CUST0000168857,UM,OT
CUST0000169058,UM,OT
CUST0000169257,MM,PE
CUST0000169377,UM,OT
CUST0000169503,XX,OT
CUST0000169887,MM,
CUST0000169890,UM,
CUST0000170376,MM,OT
CUST0000170500,XX,OT
CUST0000170672,UM,PE
CUST0000171760,UM,OT
CUST0000171942,MM,OT
CUST0000172939,MM,OF
CUST0000172994,UM,
CUST0000173051,XX,OT
CUST0000173361,UM,YA
CUST0000173929,MM,OA
CUST0000174325,MM,YF
CUST0000174543,MM,PE
CUST0000174615,MM,YA
CUST0000175019,MM,YF
CUST0000175215,MM,YF
CUST0000175277,XX,OT
CUST0000175470,MM,OT
CUST0000176004,UM,OT
CUST0000176081,XX,OT
CUST0000176102,UM,OA
CUST0000176387,LA,OA
CUST0000176637,MM,PE
CUST0000176701,UM,
CUST0000176705,UM,OT
CUST0000177095,MM,OA
CUST0000177169,MM,
CUST0000177444,MM,
CUST0000177622,LA,OT
CUST0000177733,XX,OT
CUST0000177901,MM,OT
CUST0000177911,MM,OA
CUST0000178093,XX,OF
CUST0000178509,LA,YA
CUST0000178558,LA,PE
CUST0000178603,LA,YF
CUST0000178690,UM,YA
CUST0000178820,UM,OT
CUST0000178986,LA,OT
CUST0000179031,MM,YF
CUST0000179263,LA,YF
CUST0000179265,LA,OT
CUST0000179329,LA,YF
CUST0000179481,UM,OT
CUST0000179646,XX,OT
CUST0000179746,MM,PE
CUST0000179817,UM,OA
CUST0000180023,LA,OT
CUST0000180051,XX,OT
CUST0000180206,XX,OT
CUST0000180434,MM,OA
CUST0000180467,MM,OT
CUST0000180588,UM,YF
CUST0000180856,LA,
CUST0000181525,UM,OA
CUST0000181741,UM,OT
CUST0000182139,MM,
CUST0000182451,XX,OT
CUST0000182582,MM,YA
CUST0000182916,UM,OT
CUST0000183093,LA,PE
CUST0000183225,UM,OA
CUST0000183230,MM,OT
CUST0000183348,MM,YF
CUST0000183469,UM,OT
CUST0000183523,MM,YF
CUST0000183589,LA,
CUST0000184426,LA,
CUST0000184526,LA,OA
CUST0000185094,MM,OA
CUST0000185571,MM,
CUST0000186240,MM,YF
CUST0000186477,MM,YA
CUST0000186827,LA,OT
CUST0000186979,MM,OT
CUST0000187585,LA,OT
CUST0000187720,MM,OT
CUST0000187832,LA,OT
CUST0000187885,UM,
CUST0000187916,MM,YF
CUST0000188001,MM,OT
CUST0000188090,MM,OT
CUST0000188561,XX,OT
CUST0000188655,MM,
CUST0000189276,MM,OT
CUST0000189585,UM,OA
CUST0000189657,MM,PE
CUST0000189714,XX,OT
CUST0000190109,XX,YF
CUST0000190174,LA,
CUST0000190448,UM,OT
CUST0000190750,LA,OT
CUST0000190835,MM,YF
CUST0000191190,MM,OT
CUST0000191248,UM,OA
CUST0000191339,UM,
CUST0000191960,UM,OT
CUST0000191983,UM,OT
CUST0000192514,UM,YA
CUST0000192559,XX,OT
CUST0000193010,MM,OT
CUST0000193087,LA,OA
CUST0000193118,LA,OT
CUST0000193183,LA,OT
CUST0000193209,MM,OT
CUST0000193230,XX,OT
CUST0000193265,LA,OT
CUST0000193773,UM,YF
CUST0000193956,UM,OT
CUST0000194233,UM,
CUST0000194392,MM,
CUST0000194547,MM,OA
CUST0000194560,XX,OT
CUST0000194891,LA,OT
CUST0000195041,MM,OA
CUST0000195740,LA,OT
CUST0000195742,MM,OA
CUST0000195772,MM,OT
CUST0000195791,XX,YA
CUST0000195874,LA,YF
CUST0000195975,LA,YA
CUST0000196121,MM,OT
CUST0000196385,MM,YA
CUST0000196396,UM,YA
CUST0000196444,MM,OT
CUST0000196452,LA,OT
CUST0000196637,MM,OT
CUST0000196773,LA,OT
CUST0000197150,UM,YA
CUST0000197152,UM,OA
CUST0000197177,MM,YA
CUST0000197476,LA,OT
CUST0000197717,LA,
CUST0000197720,UM,YA
CUST0000197975,MM,
CUST0000198011,MM,OA
CUST0000198121,MM,OT
CUST0000198334,MM,OT
CUST0000198486,LA,
CUST0000198561,LA,OT
CUST0000198651,UM,OA
CUST0000199032,LA,OT
CUST0000199180,MM,OA
